time,success_cloudlets,pending_cloudlets,power_kW,c_power
765,7246,63,0.1140,87.2100
766,7309,63,0.1140,87.3240
767,7309,63,0.1140,87.4380
768,7309,63,0.1140,87.5520
769,7309,63,0.1140,87.6660
770,7309,63,0.1140,87.7800
771,7309,63,0.1140,87.8940
772,7309,63,0.1140,88.0080
773,7372,63,0.1140,88.1220
774,7372,63,0.1140,88.2360
775,7372,63,0.1140,88.3500
776,7372,63,0.1140,88.4640
777,7372,63,0.1140,88.5780
778,7372,63,0.1140,88.6920
779,7372,63,0.1140,88.8060
780,7435,63,0.1140,88.9200
781,7435,63,0.1140,89.0340
782,7435,63,0.1140,89.1480
783,7435,63,0.1140,89.2620
784,7435,63,0.1140,89.3760
785,7435,63,0.1140,89.4900
786,7498,63,0.1140,89.6040
787,7498,63,0.1140,89.7180
788,7498,63,0.1140,89.8320
789,7498,63,0.1140,89.9460
790,7498,63,0.1140,90.0600
791,7498,63,0.1140,90.1740
792,7561,63,0.1140,90.2880
793,7561,63,0.1140,90.4020
794,7561,63,0.1140,90.5160
795,7561,63,0.1140,90.6300
796,7561,63,0.1140,90.7440
797,7561,63,0.1140,90.8580
798,7561,63,0.1140,90.9720
799,7624,63,0.1140,91.0860
800,7624,63,0.1140,91.2000
801,7624,63,0.1140,91.3140
802,7624,63,0.1140,91.4280
803,7624,63,0.1140,91.5420
804,7624,63,0.1140,91.6560
805,7624,63,0.1140,91.7700
806,7687,63,0.1140,91.8840
807,7687,63,0.1140,91.9980
808,7687,63,0.1140,92.1120
809,7687,63,0.1140,92.2260
810,7687,63,0.1140,92.3400
811,7687,63,0.1140,92.4540
812,7687,63,0.1140,92.5680
813,7750,63,0.1140,92.6820
814,7750,63,0.1140,92.7960
815,7750,63,0.1140,92.9100
816,7750,63,0.1140,93.0240
817,7750,63,0.1140,93.1380
818,7750,63,0.1140,93.2520
819,7750,63,0.1140,93.3660
820,7813,63,0.1140,93.4800
821,7813,63,0.1140,93.5940
